ID;Jugador;Equipo;Posicion
dceballos;Dani Ceballos;Real Madrid;Centrocampistas
daniolmo;Dani Olmo;FC Barcelona;Centrocampistas
parejo;Dani Parejo;Villarreal CF;Centrocampistas
danielrequena;Dani Requena;Villarreal CF;Centrocampistas
danirodriguez;Dani Rodriguez;RCD Mallorca;Centrocampistas
danielluna;Daniel Luna;FC Cartagena;Centrocampistas
daoudadoumbia;Daouda Doumbia;Deportivo Alaves;Centrocampistas
darko;Darko Brasanac;CD Leganes;Centrocampistas
denissuarez;Denis Suarez;Villarreal CF;Centrocampistas
diegomendez;Diego Mendez;CD Eldense;Centrocampistas
djibrilsow;Djibril Sow;Sevilla FC;Centrocampistas
donnyvandebeek;Donny van de Beek;Girona FC;Centrocampistas
darioessugo;Dario Cassia Luis Essugo;UD Las Palmas;Centrocampistas
eduexposito;Edu Exposito;RCD Espanyol de Barcelona;Centrocampistas
eduardocamavinga;Eduardo Camavinga;Real Madrid;Centrocampistas
enricgarcia;Enric Garcia;Girona FC;Centrocampistas
enzobarrenechea;Enzo Barrenechea;Valencia CF;Centrocampistas
loiodice;Enzo Loiodice;UD Las Palmas;Centrocampistas
fabio;Fabio Gonzalez;CD Tenerife;Centrocampistas
valverde1;Federico Valverde;Real Madrid;Centrocampistas
ferminlopez;Fermin Lopez;FC Barcelona;Centrocampistas
fernandolopez;Fernando Lopez;RC Celta;Centrocampistas
floriangrillitsch;Florian Grillitsch;Real Valladolid CF;Centrocampistas
franbeltran;Fran Beltran;RC Celta;Centrocampistas
franciscomartinez1;Fran Perez;Valencia CF;Centrocampistas
francocervi;Franco Cervi;RC Celta;Centrocampistas
fdejong;Frenkie de Jong;FC Barcelona;Centrocampistas
gabrielmisehouy;Gabriel Misehouy;Girona FC;Centrocampistas
gavi;Pablo Paez Gavira;FC Barcelona;Centrocampistas
gumbau;Gerard Gumbau;Rayo Vallecano;Centrocampistas
locelso;Giovani Lo Celso;Real Betis;Centrocampistas
guillefernandez;Guille Fernandez;FC Barcelona;Centrocampistas
hugog;Hugo Guillamon;Valencia CF;Centrocampistas
hugosotelo;Hugo Sotelo;RC Celta;Centrocampistas
hugoalvarez1;Hugo Alvarez;RC Celta;Centrocampistas
losada;Iker Losada;RC Celta;Centrocampistas
ikermunoz;Iker Munoz;CA Osasuna;Centrocampistas
ilaix;Moriba Kourouma Kourouma;RC Celta;Centrocampistas
isco;Francisco Roman Alarcon Suarez;Real Betis;Centrocampistas
isi2;Isi Palazon;Rayo Vallecano;Centrocampistas
ivangil;Ivan Gil;SD Eibar;Centrocampistas
ivanjaime;Ivan Jaime;Valencia CF;Centrocampistas
ivanmartin;Ivan Martin;Girona FC;Centrocampistas
isanchez;Ivan Sanchez Aguayo;Real Valladolid CF;Centrocampistas
inigoarguibide;Inigo Arguibide;CA Osasuna;Centrocampistas
jailson;Jailson Marques Siqueira;RC Celta;Centrocampistas
james1;James Rodriguez;Sin equipo;Centrocampistas
jansalas;Jan Salas;RCD Mallorca;Centrocampistas
javierguerra;Javi Guerra;Valencia CF;Centrocampistas
javimartinez2;Javi Martinez;SD Eibar;Centrocampistas
javimunoz;Javi Munoz;UD Las Palmas;Centrocampistas
javierserrano;Javi Serrano;Atletico de Madrid;Centrocampistas
jhonsolis;Jhon Solis;Girona FC;Centrocampistas
jordan;Joan Jordan;Deportivo Alaves;Centrocampistas
casals;Joel Roca;CD Mirandes;Centrocampistas
jpatrick;John Patrick;Reims;Centrocampistas
joaocardoso;Johnny Cardoso;Real Betis;Centrocampistas
guridi;Jon Guridi;Deportivo Alaves;Centrocampistas
jonmagunacelaya;Jon Magunazelaia;Cordoba CF;Centrocampistas
moncayola;Jon Moncayola;CA Osasuna;Centrocampistas
jonanderolasagasti;Jon Olasagasti;Real Sociedad;Centrocampistas
jonimontiel;Joni Montiel;Rayo Vallecano;Centrocampistas
jgcampana;Jose Campana;UD Las Palmas;Centrocampistas
gragera;Jose Gragera;RCD Espanyol de Barcelona;Centrocampistas
juancruz;Juan Cruz;CD Leganes;Centrocampistas
juanlu1;Juanlu Sanchez;Sevilla FC;Centrocampistas
judebellingham;Jude Bellingham;Real Madrid;Centrocampistas
julianchicco;Julian Chicco;CD Leganes;Centrocampistas
justinsmith;Justin Smith;RCD Espanyol de Barcelona;Centrocampistas
kenedy;Robert Kenedy Nunes do Nascimento;Real Valladolid CF;Centrocampistas
kike1;Kike Perez;Venezia FC;Centrocampistas
kirian;Kirian Rodriguez;UD Las Palmas;Centrocampistas
koke;Jorge Resurreccion Merodio;Atletico de Madrid;Centrocampistas
lucadelatorre;Luca de la Torre;Sin equipo;Centrocampistas
locampos;Lucas Ocampos;Sin equipo;Centrocampistas
torro;Lucas Torro;CA Osasuna;Centrocampistas
lucienagoume;Lucien Agoume;Sevilla FC;Centrocampistas
lmilla;Luis Milla;Getafe CF;Centrocampistas
modric;Luka Modric;Real Madrid;Centrocampistas
lukasucic;Luka Sucic;Real Sociedad;Centrocampistas
manubueno;Manu Bueno;Sevilla FC;Centrocampistas
manufuster;Manu Fuster;UD Las Palmas;Centrocampistas
morlanes;Manu Morlanes;RCD Mallorca;Centrocampistas
marcbernal;Marc Bernal;FC Barcelona;Centrocampistas
marccasado;Marc Casado;FC Barcelona;Centrocampistas
marcroca;Marc Roca;Real Betis;Centrocampistas
mllorente;Marcos Llorente;Atletico de Madrid;Centrocampistas
mariomaroto;Mario Maroto;Real Valladolid CF;Centrocampistas
mariomartin;Mario Martin;Real Valladolid CF;Centrocampistas
zubimendi;Martin Zubimendi;Real Sociedad;Centrocampistas
mateoflores;Mateo Flores;Real Betis;Centrocampistas
marambarri;Mauro Arambarri;Getafe CF;Centrocampistas
mikeljauregizar;Mikel Jauregizar;Athletic Club;Centrocampistas
vesga;Mikel Vesga;Athletic Club;Centrocampistas
moigomez;Moi Gomez;CA Osasuna;Centrocampistas
naciunuvar;Naci Unuvar;Sin equipo;Centrocampistas
naimgarcia;Naim Garcia;Racing Club Ferrol;Centrocampistas
gudelj;Nemanja Gudelj;Sevilla FC;Centrocampistas
noahdarvich;Noah Darvich;FC Barcelona;Centrocampistas
osancet1;Oihan Sancet;Athletic Club;Centrocampistas
mascarell;Omar Mascarell;RCD Mallorca;Centrocampistas
oriolromeu;Oriol Romeu;Girona FC;Centrocampistas
pablobarriosrivas;Pablo Barrios;Atletico de Madrid;Centrocampistas
pfornals;Pablo Fornals;Real Betis;Centrocampistas
pabloibanez;Pablo Ibanez;CA Osasuna;Centrocampistas
pablomarin;Pablo Marin;Real Sociedad;Centrocampistas
pablorivera;Pablo Rivera;Sevilla FC;Centrocampistas
pablotorre;Pablo Torre;FC Barcelona;Centrocampistas
papealassanegueye;Pape Gueye;Villarreal CF;Centrocampistas
patheciss;Pathe Ciss;Rayo Vallecano;Centrocampistas
