ID;Jugador;Equipo;Posicion
berenguer;Alex Berenguer;Athletic Club;Delanteros
alexander-sorloth;Alexander Sørloth;Atletico de Madrid;Delanteros
alfonso-1;Alfon Gonzalez;RC Celta;Delanteros
amath;Amath Ndiaye;Real Valladolid CF;Delanteros
barrenetxea;Ander Barrenetxea;Real Sociedad;Delanteros
budimir;Ante Budimir;CA Osasuna;Delanteros
griezmann;Antoine Griezmann;Atletico de Madrid;Delanteros
antoniu-roca;Antoniu Roca;RCD Espanyol de Barcelona;Delanteros
arnaut-danjuma;Arnaut Danjuma;Girona FC;Delanteros
villalibre;Asier Villalibre;Deportivo Alaves;Delanteros
assane-diao;Assane Diao;Real Betis;Delanteros
ayoze-perez;Ayoze Perez;Villarreal CF;Delanteros
bertug-yildirim;Bertug Yildirim;Getafe CF;Delanteros
bojan-miovski;Bojan Miovski;Girona FC;Delanteros
b-iglesias;Borja Iglesias;RC Celta;Delanteros
bryan;Bryan Gil;Girona FC;Delanteros
bryan-zaragoza;Bryan Zaragoza;CA Osasuna;Delanteros
c-perez;Carles Perez;Getafe CF;Delanteros
carlos-martin;Carlos Martin;Deportivo Alaves;Delanteros
carlos-vicente;Carlos Vicente;Deportivo Alaves;Delanteros
chidera-ejuke;Chidera Ejuke;Sevilla FC;Delanteros
chimy-avila;Chimy Avila;Real Betis;Delanteros
coba-da-costa;Coba da Costa;Getafe CF;Delanteros
stuani;Cristhian Stuani;Girona FC;Delanteros
cyle-larin;Cyle Larin;RCD Mallorca;Delanteros
dani-gomez-1;Dani Gomez;Valencia CF;Delanteros
dani-raba;Dani Raba;CD Leganes;Delanteros
d-machis;Darwin Machis;Real Valladolid CF;Delanteros
david-otorbi;David Otorbi;Valencia CF;Delanteros
diego-garcia-2;Diego Garcia;CD Leganes;Delanteros
diego-lopez-noguerol;Diego Lopez;Valencia CF;Delanteros
dodi-lukebakio;Dodi Lukebakio;Sevilla FC;Delanteros
endrick;Endrick Felipe Moreira de Sousa;Real Madrid;Delanteros
etienne-etoo-pineda;Etienne Etoo Pineda;Rayo Vallecano;Delanteros
etta-eyong;Etta Eyong;Villarreal CF;Delanteros
ferran;Ferran Torres;FC Barcelona;Delanteros
gerard;Gerard Moreno;Villarreal CF;Delanteros
giuliano-simeone;Giuliano Simeone;Atletico de Madrid;Delanteros
guruzeta;Gorka Guruzeta;Athletic Club;Delanteros
hugo-duro;Hugo Duro;Valencia CF;Delanteros
hugo-novoa;Hugo Novoa;Deportivo Alaves;Delanteros
iago-aspas;Iago Aspas;RC Celta;Delanteros
iker-almena;Iker Almena;Sin equipo;Delanteros
iker-benito;Iker Benito;CA Osasuna;Delanteros
ilias-akhomach;Ilias Akhomach;Villarreal B;Delanteros
irvin-cardona;Irvin Cardona;RCD Espanyol de Barcelona;Delanteros
isaac-romero;Isaac Romero;Sevilla FC;Delanteros
williams;Inaki Williams;Athletic Club;Delanteros
mata;Jaime Mata;UD Las Palmas;Delanteros
puado;Javi Puado;RCD Espanyol de Barcelona;Delanteros
javier-marton;Javier Marton;Athletic Club;Delanteros
joaquin-panichelli;Joaquin Panichelli;CD Mirandes;Delanteros
j-carreras;Jofre Carreras;RCD Espanyol de Barcelona;Delanteros
jonathan-bamba;Jonathan Bamba;RC Celta;Delanteros
de-frutos-1;Jorge de Frutos;Rayo Vallecano;Delanteros
jose-arnaiz;Jose Arnaiz;CA Osasuna;Delanteros
juanmi;Juan Miguel Jimenez Lopez;Real Betis;Delanteros
juan-latasa;Juanmi Latasa;Real Valladolid CF;Delanteros
julen-lartitegi;Julen Lartitegi;Deportivo Alaves;Delanteros
julian-alvarez;Julian Alvarez;Atletico de Madrid;Delanteros
kelechi-iheanacho;Kelechi Iheanacho;Sevilla FC;Delanteros
