ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
vedat-muriqi;Vedat Muriqi;0;3;251;82;169;329;207;9;3;0.17;0.00;0.17;0.08;0.00;0.08;0.00
vicent-abril;Vicent Abril;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
guaita;Vicente Guaita;0;0;12;3;9;465;297;61;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
viktor-tsygankov;Viktor Tsyhankov;44;11;81;67;14;364;294;8;1;0.10;0.00;0.10;0.10;0.00;0.00;0.00
vini-jr;Vinícius José Paixão de Oliveira Júnior;5;16;257;250;7;544;409;21;8;0.21;0.02;0.19;0.05;0.16;0.00;0.00
viti;Viti Rozada;0;42;118;94;24;418;339;20;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
vitor-roque;Vitor Hugo Roque Ferreira;1;11;188;141;47;188;134;4;1;0.13;0.00;0.13;0.00;0.10;0.03;0.00
vladyslav-krapyvtsov;Vladyslav Krapyvtsov;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
v-meseguer;Víctor Meseguer;0;10;55;37;18;185;139;7;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
victor-munoz;Víctor Muñoz Villanueva;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
victor-puig;Víctor Puig;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
walid-cheddira;Walid Cheddira;0;4;106;70;36;91;65;1;0;0.14;0.00;0.14;0.14;0.00;0.00;0.00
warren-madrigal;Warren Madrigal;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
william-2;William Silva de Carvalho;0;3;24;19;5;182;140;11;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
williot-swedberg;Williot Swedberg;0;14;119;99;20;278;203;8;2;0.15;0.05;0.10;0.00;0.15;0.00;0.00
willy-kambwala;Willy Kambwala;0;9;36;14;22;276;215;22;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wojciech-szczesny;Wojciech Szczesny;0;1;1;1;0;155;117;17;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
xavier-pleguezuelo;Xavier Pleguezuelo;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
herrera-1;Yangel Herrera;0;40;221;178;43;637;523;21;2;0.17;0.00;0.17;0.00;0.00;0.17;0.00
yarek-gasiorowski;Yarek Gasiorowski;0;19;66;30;36;460;345;30;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jesus-santiago;Jesús Santiago Pérez;0;12;43;38;5;104;70;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
yeray-2;Yeray Álvarez;0;18;103;53;50;742;575;51;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
yeremy;Yeremy Pino;1;38;169;151;18;400;303;7;3;0.10;0.00;0.10;0.00;0.10;0.00;0.00
yoel-lago;Yoel Lago;0;2;9;7;2;143;126;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
youssef-lekhedim;Youssef Lekhedim;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
youssouf-sabaly;Youssouf Sabaly;0;28;91;76;15;491;412;6;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
yuri-b;Yuri Berchiche;0;22;98;68;30;740;591;38;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
yvan-neyou;Yvan Neyou;0;44;193;164;29;751;622;31;2;0.09;0.00;0.09;0.00;0.09;0.00;0.00
yaser-asprilla;Yáser Asprilla;16;14;91;89;2;380;290;18;4;0.14;0.07;0.07;0.14;0.00;0.00;0.00
alex-b;Álex Baena;87;21;191;161;30;775;522;51;13;0.19;0.00;0.19;0.09;0.09;0.00;0.00
alejandro-gil;Álex Gil;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alex-munoz;Álex Muñoz;0;31;121;82;39;516;418;13;0;0.43;0.00;0.43;0.14;0.14;0.14;0.00
a-remiro;Álex Remiro;0;0;8;2;6;796;408;164;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
a-sola;Álex Sola;0;21;207;159;48;221;147;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alex-suarez;Álex Suárez;0;31;130;71;59;991;809;48;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alex-valle;Álex Valle;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alvaro-aceves;Álvaro Aceves;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aguado-1;Álvaro Aguado;3;4;35;30;5;191;139;13;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alvaro-cortes-1;Álvaro Cortés;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alvaro-djalo;Álvaro Djaló;0;6;79;60;19;72;47;4;0;0.11;0.00;0.11;0.00;0.00;0.11;0.00
alvaro-fernandez;Álvaro Fernández;0;0;4;3;1;268;112;49;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alvaro-1;Álvaro García;1;27;101;84;17;444;289;15;2;0.12;0.00;0.12;0.04;0.08;0.00;0.00
alvaro-killane;Álvaro Killane;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
odriozola;Álvaro Odriozola;0;1;6;5;1;24;17;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alvaro-rodriguez-3;Álvaro Rodríguez;0;7;187;74;113;138;71;0;1;0.20;0.00;0.20;0.10;0.00;0.10;0.00
a-tejero;Álvaro Tejero;42;11;93;74;19;395;294;17;1;0.07;0.07;0.00;0.00;0.07;0.00;0.07
correa;Ángel Correa;6;6;84;76;8;197;152;4;0;0.17;0.00;0.17;0.00;0.17;0.00;0.00
angel-f;Ángel Fortuño;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
angel-ortiz;Ángel Ortiz;0;10;51;39;12;156;118;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aron-yaakobishvili;Áron Yaakobishvili;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
e-militao;Éder Gabriel Militão;0;19;94;61;33;706;586;48;0;0.14;0.00;0.14;0.00;0.14;0.00;0.00
i-lekue;Íñigo Lekue;0;10;33;28;5;215;159;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
r-de-galarreta;Íñigo Ruíz de Galarreta;5;25;105;95;10;548;436;33;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
de-marcos;Óscar De Marcos;0;26;89;71;18;581;429;29;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mingueza;Óscar Mingueza;9;24;146;130;16;1101;821;66;5;0.13;0.07;0.07;0.00;0.13;0.00;0.07
oscar-4;Óscar Rodríguez;14;26;133;109;24;333;232;22;2;0.07;0.00;0.07;0.00;0.00;0.07;0.00
oscar-trejo;Óscar Trejo;2;4;52;44;8;161;137;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
oscar-5;Óscar Valentín;0;46;208;148;60;599;460;24;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
orjan-nyland;Ørjan Nyland;0;1;6;2;4;538;231;82;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
